Course,,Comp,,Plan Enrol,Assigned Day,Assigned Start Time,Assigned Duration,Room Assigned,First Name,Last Name
,,,,,Thursday,19:00,1:30,O226,,
,,407,,25,Tuesday,20:30,1:00,T230,,
,,408,,25,Thursday,20:30,1:00,T230,,
,,65,,30,Tuesday,9:00,2:00,E123,,
,,,,,Thursday,9:00,2:00,E123,,
,,,,30,Friday,9:00,1:00,T230,,
,,465,,30,Friday,10:00,1:00,E125,,
MATH1102,,1,,35,Tuesday,16:00,1:30,B231,Peter,Zizler
,,,,,Thursday,16:00,1:30,B231,Peter,Zizler
MATH1103,,1,,35,Monday,13:00,1:30,B231,Peter,Zizler
,,,,,Wednesday,13:00,1:30,B231,Peter,Zizler
MATH1200,,1,,48,Monday,13:00,1:30,T223,Roberta,La Haye
,,,,,Wednesday,13:00,1:30,T223,Roberta,La Haye
,,,,48,Tuesday,13:00,1:00,EA2057,Roberta,La Haye
,,401,,24,Monday,10:00,1:00,B231,Roberta,La Haye
,,402,,24,Monday,11:00,1:00,B231,Roberta,La Haye
,,2,,48,Tuesday,11:30,1:30,T223,Pamini,Thangarajah
,,,,,Thursday,11:30,1:30,T223,Pamini,Thangarajah
,,,,48,Wednesday,11:30,1:00,T223,Pamini,Thangarajah
,,403,,24,Tuesday,8:30,1:00,EB1102,Pamini,Thangarajah
,,404,,24,Tuesday,9:30,1:00,EB1102,Pamini,Thangarajah
,,3,,48,Monday,8:30,1:30,EA1024,,
,,,,,Wednesday,8:30,1:30,EA1024,,
,,,,48,Thursday,8:30,1:00,T223,,
,,405,,24,Thursday,11:00,1:00,T241,,
,,406,,24,Thursday,12:00,1:00,T241,,
,,4,,48,Monday,8:30,1:30,T223,,
,,,,,Wednesday,8:30,1:30,T223,,
,,,,48,Tuesday,8:30,1:00,T223,,
,,407,,24,,,,T230,,
,,408,,24,Thursday,9:30,1:00,T230,,
MATH1203,,1,,45,Wednesday,14:30,1:30,Y314,,
,,,,,Friday,14:30,1:30,Y314,,
,,401,,45,Thursday,14:30,1:00,EA1014,,
,,2,,45,Wednesday,10:00,1:30,Y314,Roberta,La Haye
,,,,,Friday,10:00,1:30,Y314,Roberta,La Haye
,,402,,45,Thursday,10:00,1:00,T223,Roberta,La Haye
,,3,,45,Monday,10:00,1:30,EA1024,,
,,,,,Wednesday,10:00,1:30,EA1024,,
,,403,,45,Tuesday,10:00,1:00,EC1145,,
MATH1205,,1,,36,Tuesday,10:00,1:30,Y316,,
,,,,,Thursday,10:00,1:30,Y316,,
,,2,,36,Monday,8:30,1:30,E125,,
,,,,,Wednesday,8:30,1:30,E125,,
MATH1271,,1,,40,Monday,8:30,1:30,T239,Carlos,Videla Rico
,,,,,Wednesday,8:30,1:30,T239,Carlos,Videla Rico
,,401,,20,Friday,12:00,1:00,E131,Carlos,Videla Rico
,,402,,20,Tuesday,16:30,1:00,T234,Carlos,Videla Rico
MATH1505,,1,,40,Tuesday,14:30,1:30,Y316,Indrajit,Lagu
,,,,,Thursday,14:30,1:30,Y316,Indrajit,Lagu
,,401,,20,Friday,11:00,1:00,E125,Indrajit,Lagu
,,402,,20,Friday,15:00,1:00,B231,Indrajit,Lagu
,,2,,40,Monday,16:00,1:30,T241,David,Killough
,,,,,Wednesday,16:00,1:30,T241,David,Killough
,,403,,20,Friday,8:30,1:00,B231,David,Killough
,,404,,20,Monday,12:00,1:00,B231,David,Killough
MATH2150,,1,,36,Tuesday,8:30,1:30,B231,Ganesh,Bhandari
,,,,,Thursday,8:30,1:30,B231,Ganesh,Bhandari
MATH2200,,1,,48,Tuesday,14:30,1:30,T223,Mariya,Svishchuk
,,,,,Thursday,14:30,1:30,T223,Mariya,Svishchuk
,,401,,24,Thursday,16:00,1:00,T223,Mariya,Svishchuk
,,402,,24,Thursday,11:00,1:00,E123,Mariya,Svishchuk
,,2,,48,Monday,16:00,1:30,T223,Ganesh,Bhandari
,,,,,Wednesday,16:00,1:30,T223,Ganesh,Bhandari
,,403,,24,Tuesday,12:30,1:00,B222,Ganesh,Bhandari
,,404,,24,Tuesday,11:00,1:00,E123,Ganesh,Bhandari
MATH2233,,1,,36,Monday,14:30,1:30,E125,Ganesh,Bhandari
,,,,,Wednesday,14:30,1:30,E125,Ganesh,Bhandari
,,401,,36,Thursday,14:30,2:00,EB1011,Ganesh,Bhandari
,,2,,36,,,,,,
,,402,,36,,,,,,
,,3,,36,Tuesday,8:30,1:30,B222,,
,,,,,Thursday,8:30,1:30,B222,,
,,403,,36,Friday,8:30,2:00,EB1011,,
MATH2234,,1,,40,Monday,10:30,2:00,Y316,,
,,,,,Wednesday,10:30,2:00,Y316,,
,,501,,40,Tuesday,11:30,1:00,E203,,
,,2,,40,Tuesday,10:30,2:00,EB1102,,
,,,,,Thursday,10:30,2:00,EB1102,,
,,502,,40,Monday,11:30,1:00,E203,,
MATH2303,,1,,20,Tuesday,13:00,1:30,E131,Peter,Zizler
,,,,,Thursday,13:00,1:30,E131,Peter,Zizler
,,501,,20,Monday,14:30,2:00,B107,Peter,Zizler
MATH2311,,1,,20,Tuesday,13:00,1:30,E123,Pamini,Thangarajah
,,,,,Thursday,13:00,1:30,E123,Pamini,Thangarajah
,,401,,20,Monday,15:30,1:00,E123,Pamini,Thangarajah
MATH2333,,1,,40,,,,,,
,,401,,40,Thursday,11:30,1:00,E147,,
MATH3200,,1,,35,Wednesday,10:00,1:30,B231,Mariya,Svishchuk
,,,,,Friday,10:00,1:30,B231,Mariya,Svishchuk
,,401,,35,Monday,16:00,1:00,B231,Mariya,Svishchuk
