Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
COMP-2633-001,10594,MATHEMATICS & COMPUTING,Foundations-Software Engineer,3,LEC,M W,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,T130,30,1,Uzoka F,,,,Lecture 001 take tutorial 401.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-2633-401,10595,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1030am,1220pm,06-JAN-21 To 24-APR-21,LP,B162,30,1,Uzoka F,,,,,,,,,,,
COMP-2659-001,10596,MATHEMATICS & COMPUTING,Computing Machinery,3,LEC,M T R,0830am,0920am,06-JAN-21 To 24-APR-21,EA,EA2005,30,1,Pospisil P,,,,Lecture 001 take tutorial 401 and lab 501.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-2659-401,10597,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B162,30,1,Pospisil P,,,,,,,,,,,
COMP-2659-501,10598,MATHEMATICS & COMPUTING,Laboratory,0,LAB,F,0830am,0920am,06-JAN-21 To 24-APR-21,LP,B162,30,1,Pospisil P,,,,,,,,,,,
COMP-3012-001,10599,MATHEMATICS & COMPUTING,Robotics,3,LEC,W,1900pm,2150pm,06-JAN-21 To 24-APR-21,LP,E203,35,1,TBA,,,,Lecture 001 take tutorial 401.  | Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3012-401,10600,MATHEMATICS & COMPUTING,Tutorial,0,TUT,W,1730pm,1820pm,06-JAN-21 To 24-APR-21,LP,E203,35,1,TBA,,,,,,,,,,,
COMP-3309-001,10601,MATHEMATICS & COMPUTING,Info Technology and Society,3,LEC,T R,1130am,1250pm,06-JAN-21 To 24-APR-21,LP,T137,40,1,Perri P,,,,Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3309-002,10602,MATHEMATICS & COMPUTING,Info Technology and Society,3,LEC,T R,1300pm,1420pm,06-JAN-21 To 24-APR-21,LP,T137,40,1,Perri P,,,,Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3505-001,10603,MATHEMATICS & COMPUTING,Software Testing,3,LEC,W F,1430pm,1550pm,06-JAN-21 To 24-APR-21,LP,E203,40,1,Amannejad Y,,,,Lecture 001 take lab 501 or 502.  Prerequisite checking is in effect for this course.  Refer to the current MRU http://www.mtroyal.ca/ProgramsCourses/CourseListings/index.htm for details.,,,,,,,
COMP-3505-501,10604,MATHEMATICS & COMPUTING,Laboratory,0,LAB,R,1430pm,1520pm,06-JAN-21 To 24-APR-21,LP,B215,20,1,Amannejad Y,,,,,,,,,,,
